"Autauga, AL",50756,37,14613,19347,5876,1947,49584,18,476,191,26030,7,9,96,31,175,10,10,65,37,60,4,88,2969,24132,8,116,3,367,1156,109,29938,9923,264,235,15980,17577,13.7,1310,15064,1261,979,811,835,1139,905,1089,964,931,1661,1950,2760,1317,825,605,256,14597,1553,53081,11.2,54571,10900,91.8,26569,28002,42154,9643,232,474,0.445,0.205,0.148,0.146,0.035
"Baldwin, AL",179878,41.1,41898,58343,30610,3270,171997,93,3227,696,131351,9,10,561,158,964,118,55,315,308,446,35,417,14763,81390,8.9,306,5,738,2622,142,30772,27120,468,915,61934,65014,18.3,7992,51151,3730,3406,3758,4495,4416,3949,3942,4141,3137,5968,7281,8275,5120,2541,2201,2137,16094,3816,48637,13.3,182265,41850,114.6,89196,93069,152200,17105,1216,1348,0.469,0.193,0.17,0.084,0.059
"Barbour, AL",29737,39,6015,9899,4102,1761,29663,14,442,10,2323,11,9,32,35,89,29,7,41,20,44,6,53,1352,9773,12.1,31,0,63,28,6,34119,3964,37,54,11755,10201,13.5,1387,6721,2094,918,728,708,597,580,780,527,411,1078,812,695,340,139,155,83,12061,2035,28802,32.8,27457,-1581,31,14576,12881,12837,12875,114,107,0.501,0.179,0.146,0.122,0.036
"Bibb, AL",21587,37.8,5201,8687,2904,2244,21464,8,172,8,1343,11,5,34,21,63,20,6,16,9,15,3,28,135,8444,10.7,44,0,107,215,33,31274,3565,18,56,8676,7419,16.5,406,5748,612,565,443,525,656,406,469,379,319,836,826,704,394,271,104,16,13556,647,38294,18.1,22915,2089,36.8,12301,10614,17191,5047,64,22,0.494,0.255,0.112,0.099,0.021
"Blount, AL",58345,39,14106,19416,8590,3201,56804,11,435,18,1895,5,2,110,44,146,29,9,48,11,50,2,52,895,26016,8.9,27,0,49,251,21,23779,9806,127,177,20687,21208,18.3,4626,16175,1470,1333,1420,1020,1029,1099,1094,1051,1045,1921,2327,2054,1243,426,442,254,14502,1473,41520,14.6,57322,6298,88.9,28362,28960,50952,761,307,117,0.487,0.244,0.122,0.1,0.022
"Bullock, AL",10985,38.5,2430,3911,1181,2021,10917,2,139,1,400,10,2,6,3,21,3,5,6,5,6,1,14,0,3651,14.7,44,0,63,193,8,31710,1616,0,63,4415,3441,15,777,2387,914,250,420,264,245,379,100,127,147,269,183,351,132,24,45,79,11370,888,24206,34.7,10914,-800,17.5,5912,5002,2392,7666,23,20,0.565,0.17,0.116,0.085,0.042
"Butler, AL",19964,40.1,5056,6597,3231,2132,20189,12,292,3,334,25,3,38,21,102,9,10,37,19,20,1,40,0,8993,12.1,73,1,176,476,25,31175,3347,34,70,6727,7617,14.4,191,5739,1102,893,712,608,551,543,469,468,319,555,708,600,209,139,113,67,12112,1176,27794,29.4,20947,-452,27,9838,11109,11324,9095,60,177,0.538,0.167,0.133,0.118,0.027
"Calhoun, AL",114081,38.2,27126,42361,17152,3176,112969,33,1656,107,15959,14,12,190,126,512,64,31,170,88,186,12,292,4352,52565,9.5,777,14,1286,3009,240,39594,18539,504,425,38428,42600,13.1,3893,31609,5676,3831,3149,3128,2759,3214,2555,2381,2060,3872,4664,4655,2364,1062,961,715,13282,5563,37340,19,118572,6323,195.7,57176,61396,87285,24382,540,845,0.451,0.194,0.163,0.118,0.048
"Chambers, AL",34320,41.5,7703,10988,5759,1809,34704,10,316,10,870,18,6,58,23,117,6,8,28,19,32,3,68,334,14060,13.7,193,2,474,1201,77,30194,5030,79,104,12214,13607,12.9,536,9391,1544,1382,1138,1216,1048,820,941,726,490,1229,1236,1062,564,149,71,56,14062,1638,30621,20.7,34215,-2368,57.4,16363,17852,19893,13257,69,168,0.476,0.2,0.131,0.131,0.037
"Cherokee, AL",24448,43.9,5566,7829,4537,2176,24427,9,262,6,1099,7,3,35,23,84,15,6,20,14,16,0,27,289,11355,9.1,18,0,51,227,9,27772,4084,99,113,9344,9711,16.2,320,7493,1043,927,636,792,652,548,495,732,498,921,913,1253,431,127,203,90,13379,1050,38024,18.4,25989,2001,46.9,12888,13101,23929,1208,135,54,0.521,0.173,0.152,0.1,0.028
